Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,/proto.Auth_Service/req_pq,354390,0,2,2.6515259764767407,0.5420849993242882,40.23773700100719,34.340432856457575,2839.966269879478,0.0,2,3,3,3,4,5,6,7,13,23,40
,Aggregated,354390,0,2,2.6515259764767407,0.5420849993242882,40.23773700100719,34.340432856457575,2839.966269879478,0.0,2,3,3,3,4,5,6,7,13,23,40
