Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/req_pq,222,0,10,8.923874977561944,2.439398998831166,15.954115999193164,115.11711711711712,1.782278639179622,0.0,10,11,12,12,13,14,15,16,16,16,16
POST,/get-user,236,0,10,9.660106461878813,2.9396720019576605,52.041790000657784,244.0,1.8946745893981565,0.0,10,11,12,12,14,15,16,17,52,52,52
POST,/get-user-inject,239,0,10,9.183651820201087,2.785873999528121,35.714331999770366,244.0,1.918759435873557,0.0,10,11,12,12,14,15,16,16,36,36,36
,Aggregated,697,0,10,9.262235516571321,2.439398998831166,52.041790000657784,202.94978479196556,5.5957126644513355,0.0,10,11,12,12,13,15,16,16,52,52,52
